10cm,15cm,20cm,25cm,30cm,35cm,40cm,50cm,60cm,70cm,80cm,90cm,100cm,120cm,140cm
521.0,784.0,826.0,745.0,669.0,576.0,503.0,383.0,314.0,259.0,221.0,198.0,175.0,140.0,117.0
518.0,780.0,827.0,746.0,669.0,577.0,497.0,385.0,314.0,260.0,226.0,199.0,177.0,139.0,118.0
523.0,777.0,831.0,741.0,663.0,579.0,497.0,387.0,314.0,261.0,226.0,199.0,172.0,144.0,111.0
520.0,780.0,828.0,753.0,673.0,578.0,495.0,383.0,308.0,264.0,227.0,197.0,175.0,138.0,120.0
521.0,784.0,823.0,756.0,668.0,580.0,494.0,384.0,313.0,259.0,225.0,200.0,177.0,131.0,112.0
518.0,784.0,822.0,742.0,666.0,580.0,495.0,384.0,310.0,259.0,226.0,199.0,175.0,140.0,117.0
524.0,788.0,825.0,750.0,671.0,579.0,497.0,391.0,313.0,260.0,236.0,203.0,174.0,142.0,113.0
519.0,779.0,827.0,750.0,665.0,575.0,506.0,384.0,314.0,258.0,227.0,197.0,176.0,146.0,120.0
521.0,774.0,829.0,751.0,671.0,576.0,493.0,385.0,307.0,259.0,222.0,200.0,177.0,140.0,112.0
518.0,783.0,822.0,751.0,669.0,578.0,497.0,385.0,316.0,261.0,225.0,201.0,178.0,142.0,120.0
522.0,787.0,826.0,748.0,663.0,577.0,499.0,382.0,312.0,267.0,226.0,199.0,178.0,137.0,111.0
521.0,791.0,826.0,744.0,665.0,576.0,497.0,387.0,313.0,258.0,223.0,198.0,173.0,138.0,119.0
520.0,786.0,825.0,750.0,671.0,577.0,496.0,387.0,316.0,261.0,227.0,200.0,175.0,146.0,111.0
523.0,785.0,824.0,754.0,675.0,577.0,495.0,388.0,312.0,260.0,225.0,198.0,174.0,140.0,117.0
523.0,787.0,826.0,742.0,669.0,579.0,498.0,386.0,312.0,262.0,225.0,198.0,174.0,142.0,112.0
520.0,787.0,824.0,745.0,672.0,578.0,496.0,386.0,313.0,259.0,224.0,196.0,176.0,137.0,110.0
515.0,778.0,825.0,744.0,664.0,577.0,499.0,386.0,317.0,263.0,226.0,198.0,175.0,138.0,112.0
518.0,773.0,826.0,745.0,666.0,575.0,505.0,387.0,312.0,262.0,226.0,199.0,176.0,144.0,119.0
519.0,780.0,821.0,747.0,667.0,578.0,494.0,385.0,307.0,258.0,228.0,200.0,175.0,139.0,119.0
518.0,789.0,824.0,743.0,665.0,578.0,495.0,386.0,308.0,260.0,227.0,197.0,176.0,138.0,118.0
519.0,783.0,824.0,746.0,674.0,576.0,498.0,385.0,313.0,261.0,226.0,199.0,175.0,137.0,115.0
513.0,785.0,827.0,745.0,674.0,578.0,502.0,385.0,312.0,265.0,227.0,200.0,173.0,144.0,114.0
518.0,786.0,822.0,742.0,669.0,578.0,494.0,384.0,313.0,261.0,227.0,200.0,174.0,143.0,112.0
517.0,784.0,825.0,750.0,669.0,578.0,497.0,385.0,313.0,261.0,226.0,196.0,173.0,137.0,111.0
520.0,789.0,829.0,751.0,670.0,577.0,497.0,385.0,313.0,262.0,226.0,198.0,175.0,138.0,113.0
516.0,790.0,825.0,747.0,670.0,583.0,495.0,382.0,310.0,261.0,227.0,201.0,177.0,146.0,119.0
516.0,783.0,830.0,748.0,667.0,582.0,498.0,384.0,307.0,263.0,227.0,200.0,175.0,139.0,119.0
518.0,784.0,823.0,750.0,674.0,578.0,497.0,386.0,315.0,261.0,226.0,203.0,174.0,142.0,111.0
522.0,784.0,826.0,747.0,668.0,577.0,498.0,388.0,308.0,262.0,228.0,199.0,175.0,138.0,116.0
521.0,788.0,828.0,746.0,667.0,577.0,499.0,383.0,314.0,266.0,227.0,199.0,175.0,138.0,111.0
512.0,787.0,831.0,744.0,675.0,571.0,497.0,385.0,316.0,263.0,226.0,199.0,176.0,139.0,113.0
524.0,785.0,823.0,745.0,661.0,575.0,497.0,385.0,313.0,259.0,226.0,200.0,181.0,142.0,121.0
518.0,780.0,824.0,753.0,664.0,578.0,502.0,381.0,313.0,263.0,231.0,199.0,177.0,140.0,112.0
519.0,787.0,825.0,748.0,666.0,577.0,499.0,384.0,314.0,260.0,225.0,203.0,174.0,146.0,121.0
525.0,788.0,828.0,747.0,664.0,575.0,497.0,386.0,313.0,258.0,224.0,199.0,174.0,139.0,110.0
523.0,779.0,823.0,756.0,669.0,577.0,495.0,384.0,316.0,260.0,223.0,199.0,174.0,138.0,112.0
523.0,786.0,824.0,751.0,670.0,577.0,496.0,388.0,314.0,259.0,228.0,199.0,176.0,139.0,118.0
518.0,789.0,825.0,744.0,669.0,579.0,495.0,391.0,314.0,261.0,225.0,202.0,176.0,140.0,114.0
522.0,777.0,825.0,747.0,673.0,582.0,495.0,387.0,315.0,260.0,225.0,200.0,175.0,139.0,112.0
516.0,788.0,823.0,752.0,669.0,574.0,494.0,385.0,315.0,258.0,226.0,198.0,175.0,139.0,114.0
513.0,786.0,823.0,753.0,667.0,578.0,496.0,386.0,315.0,259.0,226.0,199.0,180.0,138.0,116.0
515.0,781.0,825.0,751.0,665.0,576.0,492.0,386.0,315.0,260.0,230.0,197.0,177.0,140.0,118.0
520.0,787.0,824.0,753.0,673.0,580.0,495.0,386.0,316.0,262.0,228.0,198.0,176.0,140.0,112.0
521.0,789.0,828.0,744.0,674.0,575.0,499.0,386.0,315.0,259.0,224.0,199.0,174.0,142.0,121.0
518.0,790.0,822.0,747.0,668.0,578.0,502.0,388.0,316.0,260.0,225.0,204.0,174.0,140.0,120.0
520.0,786.0,825.0,752.0,673.0,576.0,495.0,388.0,314.0,260.0,226.0,196.0,175.0,140.0,113.0
520.0,786.0,826.0,747.0,665.0,577.0,495.0,386.0,313.0,262.0,232.0,199.0,175.0,138.0,118.0
519.0,786.0,831.0,750.0,664.0,574.0,495.0,385.0,316.0,258.0,223.0,203.0,176.0,139.0,111.0
520.0,788.0,825.0,746.0,670.0,578.0,496.0,385.0,309.0,260.0,227.0,202.0,175.0,145.0,117.0
521.0,785.0,829.0,751.0,668.0,577.0,493.0,384.0,313.0,261.0,225.0,198.0,175.0,135.0,113.0
519.0,785.0,827.0,746.0,672.0,577.0,496.0,385.0,314.0,263.0,228.0,200.0,177.0,140.0,115.0
519.0,791.0,829.0,750.0,667.0,574.0,496.0,384.0,314.0,263.0,224.0,202.0,176.0,139.0,120.0
521.0,786.0,826.0,749.0,673.0,577.0,496.0,382.0,306.0,263.0,226.0,200.0,180.0,139.0,123.0
519.0,787.0,825.0,749.0,669.0,577.0,494.0,385.0,307.0,258.0,226.0,201.0,176.0,142.0,118.0
523.0,784.0,830.0,753.0,672.0,579.0,495.0,384.0,315.0,261.0,227.0,203.0,176.0,137.0,111.0
519.0,779.0,825.0,745.0,663.0,576.0,496.0,390.0,318.0,260.0,224.0,200.0,176.0,139.0,117.0
518.0,788.0,827.0,750.0,664.0,595.0,504.0,383.0,312.0,260.0,226.0,199.0,175.0,145.0,119.0
523.0,788.0,827.0,749.0,672.0,576.0,496.0,386.0,312.0,265.0,225.0,202.0,175.0,146.0,113.0
518.0,786.0,826.0,752.0,671.0,580.0,495.0,387.0,307.0,259.0,224.0,200.0,175.0,137.0,114.0
520.0,786.0,829.0,749.0,666.0,575.0,497.0,386.0,314.0,259.0,224.0,200.0,174.0,138.0,120.0
520.0,787.0,820.0,744.0,671.0,575.0,499.0,385.0,318.0,263.0,226.0,199.0,176.0,145.0,120.0
520.0,781.0,826.0,752.0,672.0,578.0,495.0,387.0,312.0,262.0,228.0,200.0,176.0,138.0,118.0
521.0,786.0,825.0,756.0,670.0,580.0,498.0,385.0,315.0,262.0,224.0,199.0,177.0,139.0,114.0
519.0,788.0,825.0,748.0,668.0,579.0,497.0,386.0,316.0,261.0,227.0,191.0,176.0,139.0,118.0
515.0,791.0,829.0,745.0,662.0,576.0,493.0,388.0,315.0,261.0,225.0,198.0,176.0,139.0,113.0
519.0,789.0,827.0,747.0,671.0,577.0,496.0,385.0,315.0,259.0,222.0,199.0,173.0,138.0,114.0
521.0,788.0,825.0,749.0,667.0,578.0,497.0,386.0,314.0,261.0,223.0,203.0,175.0,142.0,119.0
521.0,791.0,825.0,745.0,664.0,574.0,500.0,386.0,315.0,258.0,226.0,199.0,175.0,138.0,110.0
520.0,786.0,829.0,750.0,668.0,576.0,497.0,386.0,314.0,259.0,225.0,197.0,176.0,137.0,120.0
525.0,786.0,827.0,746.0,676.0,578.0,500.0,386.0,314.0,260.0,225.0,200.0,205.0,139.0,119.0
525.0,786.0,826.0,755.0,667.0,578.0,498.0,387.0,315.0,265.0,228.0,209.0,174.0,138.0,119.0
518.0,786.0,827.0,743.0,665.0,575.0,498.0,387.0,308.0,261.0,223.0,200.0,174.0,139.0,113.0
518.0,790.0,826.0,750.0,669.0,576.0,499.0,386.0,315.0,261.0,227.0,199.0,179.0,143.0,114.0
520.0,785.0,821.0,748.0,667.0,578.0,497.0,386.0,312.0,263.0,226.0,202.0,173.0,139.0,117.0
519.0,783.0,823.0,745.0,663.0,580.0,499.0,385.0,313.0,259.0,226.0,201.0,174.0,138.0,112.0
521.0,777.0,826.0,751.0,666.0,574.0,499.0,385.0,312.0,261.0,226.0,199.0,174.0,142.0,113.0
519.0,788.0,826.0,751.0,671.0,577.0,500.0,384.0,316.0,262.0,228.0,198.0,178.0,140.0,121.0
520.0,790.0,822.0,750.0,671.0,578.0,496.0,384.0,315.0,261.0,226.0,199.0,175.0,137.0,119.0
521.0,792.0,823.0,749.0,675.0,583.0,497.0,384.0,315.0,263.0,226.0,202.0,176.0,140.0,119.0
519.0,786.0,824.0,750.0,667.0,577.0,493.0,382.0,317.0,262.0,225.0,197.0,175.0,139.0,114.0
513.0,787.0,828.0,743.0,674.0,577.0,495.0,384.0,316.0,261.0,225.0,202.0,175.0,138.0,114.0
520.0,787.0,828.0,750.0,665.0,579.0,516.0,386.0,314.0,261.0,227.0,200.0,175.0,136.0,120.0
520.0,793.0,818.0,751.0,666.0,579.0,501.0,390.0,315.0,260.0,225.0,201.0,177.0,138.0,120.0
520.0,785.0,825.0,750.0,664.0,575.0,494.0,383.0,315.0,260.0,224.0,202.0,172.0,144.0,113.0
517.0,785.0,825.0,747.0,671.0,577.0,495.0,386.0,312.0,260.0,226.0,200.0,176.0,144.0,119.0
513.0,787.0,825.0,746.0,670.0,577.0,498.0,384.0,307.0,261.0,225.0,199.0,174.0,150.0,112.0
519.0,787.0,830.0,747.0,668.0,578.0,500.0,388.0,313.0,261.0,227.0,202.0,174.0,138.0,110.0
519.0,787.0,826.0,745.0,668.0,573.0,501.0,383.0,313.0,259.0,225.0,202.0,177.0,139.0,112.0
520.0,785.0,824.0,743.0,666.0,577.0,497.0,384.0,322.0,262.0,226.0,200.0,176.0,139.0,112.0
523.0,783.0,827.0,746.0,665.0,577.0,495.0,385.0,312.0,261.0,227.0,199.0,175.0,146.0,118.0
522.0,788.0,831.0,751.0,672.0,576.0,496.0,382.0,312.0,259.0,226.0,197.0,173.0,146.0,120.0
521.0,782.0,823.0,747.0,668.0,575.0,497.0,387.0,313.0,258.0,224.0,198.0,174.0,137.0,119.0
520.0,780.0,824.0,747.0,664.0,579.0,496.0,385.0,313.0,262.0,224.0,199.0,174.0,139.0,118.0
529.0,782.0,826.0,750.0,669.0,576.0,496.0,389.0,311.0,259.0,224.0,199.0,176.0,140.0,118.0
517.0,785.0,828.0,751.0,670.0,582.0,506.0,384.0,313.0,260.0,226.0,197.0,174.0,140.0,112.0
519.0,787.0,823.0,750.0,664.0,577.0,492.0,385.0,315.0,263.0,229.0,198.0,176.0,149.0,119.0
518.0,785.0,824.0,748.0,674.0,577.0,497.0,384.0,319.0,261.0,224.0,201.0,175.0,138.0,116.0
517.0,789.0,826.0,751.0,667.0,577.0,495.0,387.0,312.0,260.0,224.0,202.0,176.0,139.0,111.0
523.0,789.0,829.0,747.0,670.0,580.0,500.0,385.0,314.0,261.0,227.0,198.0,173.0,140.0,112.0
518.0,786.0,821.0,747.0,666.0,577.0,493.0,385.0,314.0,265.0,229.0,199.0,174.0,138.0,119.0
